<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.20	15065.20	15353.60	14661.47	14683.45	128007	0	60
2022.01.21	14759.90	14872.15	14423.05	14440.40	155240	0	60
2022.01.24	14455.37	14591.50	13721.07	14507.37	135433	0	60
2022.01.25	14483.75	14512.35	13935.87	13944.12	121603	0	60
2022.01.26	14021.57	14652.70	13991.45	14160.60	138509	0	60
2022.01.27	14243.85	14422.45	13859.22	14106.60	139652	0	60
2022.01.28	14161.97	14453.30	13843.70	14438.55	123645	0	60
2022.01.31	14425.05	14926.80	14366.05	14873.80	112508	0	60
2022.02.01	14880.35	15147.90	14741.85	15112.40	84155	0	60
2022.02.02	15130.55	15273.80	14838.60	14857.05	74203	0	60
2022.02.03	14867.25	14882.50	14472.05	14798.55	86786	0	60
2022.02.04	14767.30	14835.30	14371.85	14657.10	112370	0	60
2022.02.07	14660.95	14818.70	14525.30	14613.70	129078	0	60
2022.02.08	14609.05	14787.95	14481.05	14755.05	115252	0	60
2022.02.09	14764.80	15080.30	14756.90	15063.90	93732	0	60
2022.02.10	15064.10	15068.50	14633.35	14695.35	80908	0	60
2022.02.11	14703.35	14777.10	14193.60	14243.60	111209	0	60
2022.02.14	14225.00	14402.95	14039.85	14261.60	94768	0	50
2022.02.15	14282.05	14624.05	14233.55	14579.30	79796	0	60
2022.02.16	14592.30	14675.05	14389.00	14587.25	75095	0	60
2022.02.17	14611.40	14625.65	14143.00	14170.25	113964	0	60
2022.02.18	14149.80	14305.95	13911.60	14006.00	128854	0	60
2022.02.21	13879.45	14162.80	13723.55	13742.45	84980	0	0
2022.02.22	13627.75	14114.35	13603.75	13953.25	159289	0	60
2022.02.23	13947.50	14074.75	13478.85	13501.10	124214	0	0
2022.02.24	13495.95	13987.35	13031.20	13928.60	169142	0	60
2022.02.25	13888.50	14199.00	13765.85	14197.00	150229	0	60
2022.02.28	13775.55	14295.50	13742.20	14223.10	149867	0	60
2022.03.01	14224.45	14331.95	13906.05	14026.30	135156	0	60
2022.03.02	14020.15	14293.50	13916.65	14178.80	120253	0	60
2022.03.03	14204.40	14394.00	13961.60	14054.60	118053	0	60
2022.03.04	14063.70	14088.95	13737.30	13807.45	113420	0	60
2022.03.07	13653.50	13881.25	13268.50	13292.25	95578	0	60
2022.03.08	13277.75	13667.75	13106.40	13197.00	97236	0	60
2022.03.09	13220.40	13824.05	13210.65	13783.50	92856	0	60
2022.03.10	13759.15	13777.40	13398.90	13577.90	86691	0	60
2022.03.11	13583.50	13861.00	13283.25	13308.65	74715	0	60
2022.03.14	13393.00	13444.70	13021.95	13077.45	81237	0	50
