DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-11-30,12300.4,12344.8,12095.55,12327.3,471601
2020-12-01,12338.9,12516.3,12316.05,12463.3,276101
2020-12-02,12463.45,12476.6,12317.85,12467.6,313351
2020-12-03,12478.0,12543.3,12447.3,12491.4,178601
2020-12-04,12492.75,12538.65,12477.65,12511.9,115042
2020-12-07,12529.1,12615.0,12478.25,12574.5,162240
2020-12-08,12575.6,12655.45,12506.1,12650.7,150788
2020-12-09,12665.0,12678.4,12310.75,12355.5,234827
2020-12-10,12349.05,12453.35,12222.95,12393.45,250479
2020-12-11,12394.9,12418.55,12238.15,12374.8,242074
2020-12-14,12421.4,12558.05,12397.05,12481.05,189862
2020-12-15,12482.3,12617.45,12431.95,12607.45,192566
2020-12-16,12612.3,12713.95,12581.2,12686.7,159845
2020-12-17,12688.3,12775.05,12680.7,12762.3,145427
2020-12-18,12753.85,12796.95,12618.6,12757.85,190235
2020-12-21,12772.2,12790.2,12470.75,12702.1,320462
2020-12-22,12719.85,12772.0,12606.9,12719.25,255064
2020-12-23,12716.7,12751.85,12637.1,12669.85,189767
2020-12-24,12674.4,12736.95,12644.55,12715.55,98757
2020-12-28,12679.1,12868.75,12678.35,12855.25,148260
2020-12-29,12857.6,12930.35,12821.75,12872.0,171751
2020-12-30,12871.7,12923.15,12834.4,12855.4,155289
2020-12-31,12856.5,12909.15,12810.15,12899.4,121627
2021-01-04,12911.1,12973.0,12535.75,12701.75,278601
2021-01-05,12698.85,12821.2,12624.25,12816.95,240276
2021-01-06,12816.0,12856.65,12503.15,12672.35,385766
2021-01-07,12671.85,12970.85,12660.5,12939.85,230864
2021-01-08,12944.1,13138.85,12933.0,13137.1,249305
2021-01-11,13102.3,13119.2,12886.2,12918.95,259727
2021-01-12,12929.65,12972.8,12782.7,12897.3,228830
2021-01-13,12898.9,13016.45,12834.15,12989.25,203228
2021-01-14,12990.7,13042.1,12893.2,12911.85,201261
2021-01-15,12923.8,12943.95,12757.45,12774.95,264224
2021-01-18,12790.25,12829.9,12740.4,12824.4,85350
2021-01-19,12826.1,13047.4,12824.85,13046.65,141047
2021-01-20,13046.0,13343.0,13034.9,13306.0,184271
2021-01-21,13306.6,13439.85,13299.5,13413.7,188128
2021-01-22,13412.65,13417.05,13316.85,13369.7,192815
2021-01-25,13388.5,13571.05,13206.4,13479.7,251075
2021-01-26,13471.15,13615.05,13397.05,13567.55,225533
2021-01-27,13567.6,13602.25,12897.1,13074.95,346262
2021-01-28,13046.9,13407.8,12921.05,13167.05,384707
2021-01-29,13171.95,13199.6,12845.35,12883.85,449561
